,Car_name,Making Year,Fuel_Type,Kms,Engine,No. of owners,Transmission,Price
58,Skoda Fabia 1.2 MPI Ambiente Petrol,2010,Petrol,"75,000 kms",1198 CC,Third Owner,Manual,2.45 Lakh*
59,Mahindra XUV500 Xclusive Edition,2015,Diesel,"98,000 kms",2179 CC,First Owner,Manual,11.5 Lakh*
60,Hyundai i20 Asta 1.4 CRDi,2013,Diesel,"58,000 kms",1396 CC,Second Owner,Manual,5.25 Lakh*
61,Mahindra XUV500 2011-2015 W8 FWD,2013,Diesel,"1,21,000 kms",2179 CC,First Owner,Manual,8.25 Lakh*
62,Hyundai Grand i10 Sportz,2016,Petrol,"43,000 kms",1197 CC,First Owner,Manual,4.95 Lakh*
63,Maruti Alto LXi BSIII,2010,Petrol,"28,000 kms",796 CC,First Owner,Manual,2.35 Lakh*
64,Premier Rio Petrol GX,2013,Petrol,"22,000 kms",1173 CC,Second Owner,Manual,3.25 Lakh*
65,BMW X3 xDrive20d,2013,Diesel,"1,00,000 kms",1995 CC,Second Owner,Automatic,17.75 Lakh*
66,Audi A4 35 TDI Premium,2016,Diesel,"26,000 kms",1968 CC,First Owner,Automatic,26.3 Lakh*
67,BMW 3 Series 320d,2014,Diesel,"71,000 kms",1995 CC,First Owner,Automatic,19.75 Lakh*
68,Volvo V40 D3 R-Design,2015,Diesel,"40,000 kms",1984 CC,Second Owner,Automatic,16.15 Lakh*
69,Hyundai Santro Xing GLS,2009,Petrol,"40,000 kms",1086 CC,First Owner,Manual,2.5 Lakh*
70,Maruti Alto K10 VXI,2016,Petrol,"14,378 kms",998 CC,First Owner,Manual,3.49 Lakh*
71,Mercedes-Benz E-Class E270 CDI,2004,Diesel,"99,000 kms",2987 CC,First Owner,Automatic,7.9 Lakh*
72,BMW X3 xDrive20d,2012,Diesel,"81,000 kms",1995 CC,Second Owner,Automatic,18.5 Lakh*
73,Toyota Yaris V BSIV,2019,Petrol,"35,000 kms",1496 CC,First Owner,Manual,11 Lakh*
74,Mitsubishi Pajero Sport 4X2 AT,2015,Diesel,"66,000 kms",2477 CC,Second Owner,Automatic,16.5 Lakh*
75,Hyundai Grand i10 Sportz,2018,Petrol,"30,000 kms",1197 CC,First Owner,Manual,6.45 Lakh*
76,Maruti Ertiga ZDI,2014,Diesel,"1,31,000 kms",1248 CC,Third Owner,Manual,6.25 Lakh*
77,Hyundai Verna 1.6 CRDi EX MT,2012,Diesel,"1,16,000 kms",1582 CC,First Owner,Manual,4.9 Lakh*
78,Ford Figo Diesel Titanium,2012,Diesel,"85,000 kms",1399 CC,First Owner,Manual,3.75 Lakh*
79,Mitsubishi Cedia Elegance,2012,Petrol,"91,000 kms",1999 CC,Second Owner,Manual,4.75 Lakh*
80,Hyundai Santro LE,2000,Petrol,"81,168 kms",999 CC,Third Owner,Manual,1.25 Lakh*
81,Honda City 1.5 V MT,2009,Petrol,"1,00,000 kms",1497 CC,Third Owner,Manual,3.45 Lakh*
82,Toyota Corolla Altis Diesel D4DG,2010,Diesel,"91,000 kms",1364 CC,First Owner,Manual,5.75 Lakh*
83,Toyota Land Cruiser 2009-2020 VX Standard,2011,Diesel,"59,000 kms",4461 CC,First Owner,Automatic,75.75 Lakh*
84,Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,Diesel,"88,000 kms",2494 CC,Second Owner,Manual,10.5 Lakh*
85,Audi A6 35 TDI,2016,Diesel,"54,000 kms",1968 CC,First Owner,Automatic,25.75 Lakh*
86,Ford Figo Petrol Titanium,2011,Petrol,"45,000 kms",1196 CC,First Owner,Manual,3.25 Lakh*
87,Maruti Swift Dzire VDi,2010,Diesel,"67,000 kms",1248 CC,Second Owner,Manual,4.25 Lakh*
88,Maruti Ritz ZXi,2015,Petrol,"28,001 kms",1197 CC,First Owner,Manual,5.35 Lakh*
89,Mahindra XUV500 W8 2WD,2013,Diesel,"77,000 kms",2179 CC,First Owner,Manual,8.99 Lakh*
90,Porsche Cayenne Diesel Platinum Edition,2015,Diesel,"50,000 kms",2967 CC,First Owner,Automatic,54 Lakh*
91,Toyota Corolla Altis G,2008,Petrol,"1,19,849 kms",1798 CC,Second Owner,Manual,4.35 Lakh*
92,Hyundai i20 1.2 Asta,2012,Petrol,"37,000 kms",1197 CC,First Owner,Manual,4.85 Lakh*
93,Audi A4 2.0 TDI,2014,Diesel,"77,000 kms",1968 CC,First Owner,Automatic,16.5 Lakh*
94,Honda City i VTEC SV,2014,Petrol,"52,000 kms",1497 CC,First Owner,Manual,6.45 Lakh*
95,Skoda Rapid 1.6 MPI AT Elegance Black Package,2014,Petrol,"70,000 kms",1598 CC,Second Owner,Automatic,5.75 Lakh*
96,Maruti Alto K10 VXI AGS,2015,Petrol,"5,876 kms",998 CC,First Owner,Automatic,3.99 Lakh*
97,Mercedes-Benz E-Class 220 CDI,2009,Diesel,"90,000 kms",2143 CC,Second Owner,Automatic,9.99 Lakh*
98,Tata Harrier XZ,2019,Diesel,"61,000 kms",1956 CC,First Owner,Manual,16.5 Lakh*
99,Mahindra Scorpio 2.6 CRDe SLE,2012,Diesel,"85,000 kms",2609 CC,Second Owner,Manual,5.95 Lakh*
100,Jeep Compass 2.0 Limited,2018,Diesel,"80,000 kms",1956 CC,First Owner,Manual,16.5 Lakh*
101,Mercedes-Benz GLA Class 200 d Sport,2015,Diesel,"70,000 kms",2143 CC,Second Owner,Automatic,21 Lakh*
102,Audi Q3 35 TDI Quattro Premium Plus,2015,Diesel,"70,000 kms",1968 CC,Second Owner,Automatic,22.5 Lakh*
103,Toyota Innova Crysta 2016-2020 2.8 GX AT 8S BSIV,2016,Diesel,"1,10,064 kms",2755 CC,First Owner,Automatic,16 Lakh*
104,Maruti Swift Dzire ZDI,2018,Diesel,"27,000 kms",1248 CC,Second Owner,Manual,7.95 Lakh*
105,Hyundai Grand i10 Sportz,2015,Petrol,"46,000 kms",1197 CC,Second Owner,Manual,5.25 Lakh*
106,Chevrolet Cruze LTZ,2012,Diesel,"67,000 kms",1991 CC,Third Owner,Manual,5.95 Lakh*
107,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,Diesel,"44,000 kms",1968 CC,Second Owner,Automatic,17.9 Lakh*
108,Maruti Swift ZDI Plus,2018,Diesel,"29,000 kms",1248 CC,Second Owner,Manual,8.25 Lakh*
109,Maruti SX4 S Cross DDiS 320 Alpha,2015,Diesel,"1,20,000 kms",1598 CC,First Owner,Manual,7.5 Lakh*
110,Mahindra XUV500 W11 BSIV,2018,Diesel,"44,000 kms",2179 CC,Second Owner,Manual,17 Lakh*
111,Hyundai EON Magna Plus,2015,Petrol,"17,000 kms",814 CC,First Owner,Manual,3.2 Lakh*
112,Hyundai EON Sportz,2013,Petrol,"75,889 kms",814 CC,First Owner,Manual,3.1 Lakh*
113,Skoda Superb Elegance 1.8 TSI AT,2013,Petrol,"55,571 kms",1798 CC,Second Owner,Automatic,9.65 Lakh*
114,Hyundai i10 Magna,2013,Petrol,"26,000 kms",1197 CC,First Owner,Manual,3.5 Lakh*
115,Ford Figo Petrol Titanium,2013,Petrol,"59,000 kms",1196 CC,Second Owner,Manual,3.5 Lakh*
116,Hyundai i10 Magna 1.2,2010,Petrol,"62,053 kms",1197 CC,First Owner,Manual,3.05 Lakh*
117,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2017,Diesel,"37,000 kms",1999 CC,First Owner,Automatic,42.5 Lakh*
118,Mercedes-Benz CLA 200 CDI Sport,2017,Diesel,"51,000 kms",2143 CC,First Owner,Automatic,27.5 Lakh*
119,Volkswagen Vento 1.5 TDI Comfortline,2017,Diesel,"63,717 kms",1498 CC,First Owner,Manual,7.95 Lakh*
120,Mercedes-Benz GLE Class 350d,2017,Diesel,"69,000 kms",2987 CC,Second Owner,Automatic,49.5 Lakh*
121,Honda Brio S MT,2014,Petrol,"49,000 kms",1198 CC,Second Owner,Manual,4.25 Lakh*
122,Maruti Celerio VXI AT Optional,2016,Petrol,"56,000 kms",998 CC,First Owner,Automatic,4.65 Lakh*
123,Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,"68,000 kms",1186 CC,First Owner,Manual,5.75 Lakh*
124,Skoda Octavia Elegance 2.0 TDI AT,2014,Diesel,"86,000 kms",1968 CC,First Owner,Automatic,13.75 Lakh*
125,Mercedes-Benz C-Class 220 CDI AT,2013,Diesel,"90,000 kms",2143 CC,Second Owner,Automatic,15.75 Lakh*
126,Honda City 2017-2020 GXi,2005,Petrol,"1,05,000 kms",1497 CC,Second Owner,Manual,2.1 Lakh*
127,Mahindra Xylo E8 ABS Airbag BSIV,2012,Diesel,"75,000 kms",2498 CC,Second Owner,Manual,6.1 Lakh*
128,Maruti Swift Dzire VXi,2011,Petrol,"56,000 kms",1298 CC,Second Owner,Manual,4.25 Lakh*
129,Volkswagen Polo 1.2 MPI Comfortline,2017,Petrol,"55,000 kms",1199 CC,First Owner,Manual,6.75 Lakh*
130,Honda City 1.5 V MT,2011,Petrol,"80,000 kms",1497 CC,Second Owner,Manual,4.25 Lakh*
131,Hyundai Verna 1.6 CRDI,2011,Diesel,"1,25,000 kms",1582 CC,First Owner,Manual,5.45 Lakh*
132,Porsche Panamera Diesel 250hp,2013,Diesel,"43,000 kms",2967 CC,First Owner,Automatic,52 Lakh*
133,Land Rover Range Rover Evoque 2.0 TD4 SE Dynamic,2016,Diesel,"39,000 kms",1999 CC,First Owner,Automatic,39.75 Lakh*
134,Volkswagen Polo 1.5 TDI Highline,2015,Diesel,"95,000 kms",1498 CC,First Owner,Manual,6.35 Lakh*
135,Honda Jazz X,2011,Petrol,"1,19,000 kms",1198 CC,First Owner,Manual,4.1 Lakh*
136,Maruti Ertiga VDI,2015,Diesel,"84,000 kms",1248 CC,Second Owner,Manual,6.95 Lakh*
137,Maruti Swift VDI BSIV,2017,Diesel,"59,000 kms",1248 CC,First Owner,Manual,7 Lakh*
138,Mahindra XUV500 W11 Option,2018,Diesel,"51,000 kms",2179 CC,First Owner,Manual,17.85 Lakh*
139,Mercedes-Benz CLA 200 CDI Style,2015,Diesel,"69,000 kms",2143 CC,Second Owner,Automatic,21 Lakh*
140,Skoda Superb LK 1.8 TSI AT,2016,Petrol,"70,000 kms",1798 CC,Second Owner,Automatic,18 Lakh*
141,Hyundai i20 Magna Optional 1.2,2013,Petrol,"64,000 kms",1197 CC,Second Owner,Manual,4.35 Lakh*
142,Maruti Swift ZXI,2016,Petrol,"30,000 kms",1197 CC,Second Owner,Manual,6.1 Lakh*
143,Ford Figo 1.5D Titanium MT,2017,Diesel,"83,000 kms",1498 CC,First Owner,Manual,6.45 Lakh*
144,Hyundai Creta 1.6 CRDi SX Option,2017,Diesel,"75,000 kms",1582 CC,First Owner,Manual,12.9 Lakh*
145,Mahindra XUV500 W8 2WD,2015,Diesel,"86,000 kms",2179 CC,Second Owner,Manual,11.25 Lakh*
146,Skoda Rapid 1.5 TDI Elegance,2016,Diesel,"64,000 kms",1498 CC,First Owner,Manual,7.35 Lakh*
147,Audi Q3 35 TDI Quattro Premium,2014,Diesel,"67,000 kms",1968 CC,Second Owner,Automatic,21.5 Lakh*
148,Volkswagen Vento Sport 1.6 TSI MT,2016,Petrol,"55,000 kms",1598 CC,Second Owner,Manual,7.1 Lakh*
149,Maruti Ciaz Alpha AT,2017,Petrol,"17,000 kms",1462 CC,Second Owner,Automatic,7.75 Lakh*
150,Toyota Corolla H7,2008,Petrol,"1,12,711 kms",1794 CC,Second Owner,Automatic,3.85 Lakh*
151,Ford Figo Diesel Titanium,2010,Diesel,"42,375 kms",1399 CC,First Owner,Manual,3.25 Lakh*
152,Mercedes-Benz C-Class C 220 CDI Avantgarde,2016,Diesel,"1,00,000 kms",2143 CC,First Owner,Automatic,24.74 Lakh*
153,Jaguar XF 3.0 Litre S Premium Luxury,2012,Diesel,"1,10,000 kms",2993 CC,First Owner,Automatic,21.5 Lakh*
154,Maruti Baleno Alpha,2016,Petrol,"28,000 kms",1197 CC,Second Owner,Manual,6.5 Lakh*
155,Honda Jazz S,2011,Petrol,"63,000 kms",1198 CC,First Owner,Manual,4.25 Lakh*
156,Volkswagen Jetta 1.9 Highline TDI,2009,Diesel,"87,000 kms",1896 CC,Third Owner,Automatic,4.75 Lakh*
157,Toyota Innova Crysta 2016-2020 2.4 VX MT,2017,Diesel,"78,000 kms",2393 CC,First Owner,Manual,18 Lakh*
158,Maruti Swift VXI,2016,Petrol,"24,000 kms",1197 CC,First Owner,Manual,6.25 Lakh*
159,Hyundai Grand i10 Asta Option,2016,Petrol,"43,000 kms",1197 CC,Second Owner,Manual,5.75 Lakh*
160,Hyundai i20 Active 1.4 SX with AVN,2016,Diesel,"59,000 kms",1396 CC,Second Owner,Manual,6.75 Lakh*
161,Renault Duster 110PS Diesel RxZ AMT,2018,Diesel,"37,000 kms",1461 CC,First Owner,Automatic,10.25 Lakh*
162,Hyundai i20 1.2 Asta,2019,Petrol,"12,000 kms",1197 CC,First Owner,Manual,8.2 Lakh*
163,Maruti A Star AT Vxi Aktiv,2012,Petrol,"59,000 kms",998 CC,Second Owner,Automatic,2.85 Lakh*
164,Maruti Alto K10 VXI,2015,Petrol,"72,530 kms",998 CC,First Owner,Manual,3.25 Lakh*
165,Maruti Swift Dzire VXi,2012,Petrol,"51,190 kms",1298 CC,Second Owner,Manual,4.65 Lakh*
166,Honda Amaze SX i-DTEC,2014,Diesel,"1,48,914 kms",1498 CC,First Owner,Manual,4.49 Lakh*
167,Audi Q3 35 TDI Quattro Premium Plus,2017,Diesel,"49,980 kms",1968 CC,First Owner,Automatic,29.75 Lakh*
168,Datsun RediGO T,2017,Petrol,"43,267 kms",799 CC,First Owner,Manual,3.35 Lakh*
169,Skoda Octavia Elegance 2.0 TDI AT,2015,Diesel,"1,10,000 kms",1968 CC,First Owner,Automatic,12.1 Lakh*
170,Honda CR V 2.4L 4WD AT AVN,2013,Petrol,"90,000 kms",2354 CC,Second Owner,Automatic,12.25 Lakh*
171,Audi Q5 3.0 TDI,2009,Diesel,"1,29,000 kms",2967 CC,Second Owner,Automatic,12 Lakh*
172,Audi TT Coupe 3.2 quattro S tronic,2011,Petrol,"11,000 kms",3189 CC,Second Owner,Automatic,28 Lakh*
173,Tata Zest Revotron 1.2T XMS,2014,Petrol,"83,000 kms",1193 CC,First Owner,Manual,4.25 Lakh*
174,Skoda Yeti Ambition 4WD,2011,Diesel,"90,000 kms",1968 CC,Second Owner,Manual,5.65 Lakh*
175,Hyundai Santro Xing GLS,2011,Petrol,"79,000 kms",1086 CC,First Owner,Manual,3 Lakh*
176,Toyota Innova Crysta 2016-2020 2.4 ZX AT,2020,Diesel,"20,000 kms",2393 CC,First Owner,Automatic,27 Lakh*
177,Renault KWID 1.0 RXT Optional,2017,Petrol,"4,700 kms",999 CC,First Owner,Manual,4.75 Lakh*
178,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2018,Diesel,"27,000 kms",2755 CC,First Owner,Automatic,23.5 Lakh*
179,Renault KWID RXT,2016,Petrol,"42,000 kms",799 CC,First Owner,Manual,3.5 Lakh*
180,Hyundai i20 1.2 Magna,2010,Petrol,"57,000 kms",1197 CC,Second Owner,Manual,3.45 Lakh*
181,Maruti Celerio VXI,2016,Petrol,"39,945 kms",998 CC,First Owner,Manual,4.45 Lakh*
182,Volkswagen Polo 1.2 MPI Comfortline,2015,Petrol,"34,601 kms",1199 CC,First Owner,Manual,5.65 Lakh*
183,Maruti Baleno Delta 1.2,2017,Petrol,"27,000 kms",1197 CC,Second Owner,Manual,6.25 Lakh*
184,Hyundai Xcent 1.1 CRDi S,2015,Diesel,"84,000 kms",1120 CC,Second Owner,Manual,4.25 Lakh*
185,Toyota Yaris VX CVT BSIV,2018,Petrol,"23,570 kms",1496 CC,First Owner,Automatic,10.49 Lakh*
186,Hyundai i20 1.2 Magna,2010,Petrol,"91,000 kms",1197 CC,Second Owner,Manual,3.75 Lakh*
187,Maruti Ertiga VDI,2015,Diesel,"55,000 kms",1248 CC,Second Owner,Manual,7.4 Lakh*
188,Toyota Innova 2.5 V Diesel 7-seater,2008,Diesel,"1,07,000 kms",2494 CC,First Owner,Manual,6.9 Lakh*
189,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,Diesel,"94,000 kms",2494 CC,First Owner,Manual,13.95 Lakh*
190,Hyundai i20 1.2 Magna Executive,2018,Petrol,"35,000 kms",1197 CC,First Owner,Manual,6.9 Lakh*
191,Hyundai Grand i10 Asta Option AT,2015,Petrol,"19,000 kms",1197 CC,First Owner,Automatic,6.2 Lakh*
192,Hyundai Creta 1.6 CRDi SX,2017,Diesel,"51,000 kms",1582 CC,First Owner,Manual,12.5 Lakh*
193,Mercedes-Benz C-Class C 220 CDI Elegance AT,2010,Diesel,"78,000 kms",2143 CC,Second Owner,Automatic,10.5 Lakh*
194,Hyundai Verna CRDi ABS,2008,Diesel,"71,000 kms",1493 CC,Second Owner,Manual,3.45 Lakh*
195,Hyundai Verna 1.6 SX,2011,Diesel,"84,000 kms",1582 CC,First Owner,Manual,5.15 Lakh*
196,Land Rover Discovery Sport 2015-2020 TD4 SE 7S,2019,Diesel,"39,000 kms",2179 CC,First Owner,Automatic,56 Lakh*
197,Honda Brio VX AT,2016,Petrol,"50,000 kms",1198 CC,Second Owner,Automatic,6.3 Lakh*
198,Mercedes-Benz GLE Class 350d,2017,Diesel,"40,000 kms",2987 CC,First Owner,Automatic,54.75 Lakh*
199,Skoda Superb Style 1.8 TSI MT,2016,Petrol,"59,000 kms",1798 CC,First Owner,Manual,21.75 Lakh*
200,Land Rover Discovery Sport SD4 HSE Luxury,2018,Diesel,"40,000 kms",2179 CC,First Owner,Automatic,47.75 Lakh*
201,BMW 3 Series 320d Sedan,2010,Diesel,"1,30,000 kms",1995 CC,Second Owner,Automatic,10 Lakh*
202,Maruti Ciaz Alpha Diesel,2019,Diesel,"27,000 kms",1248 CC,First Owner,Manual,10.95 Lakh*
203,Renault KWID RXT,2016,Petrol,"43,000 kms",799 CC,First Owner,Manual,3.6 Lakh*
204,Ford Figo Diesel Titanium,2013,Diesel,"80,000 kms",1399 CC,Second Owner,Manual,3.75 Lakh*
205,Audi Q3 35 TDI Quattro Premium Plus,2015,Diesel,"20,000 kms",1968 CC,Second Owner,Automatic,23.5 Lakh*
206,Maruti Swift Dzire ZDi,2018,Diesel,"28,000 kms",1248 CC,Second Owner,Manual,7.85 Lakh*
207,Hyundai Grand i10 Sportz,2015,Petrol,"45,000 kms",1197 CC,Second Owner,Manual,5.25 Lakh*
208,Hyundai Grand i10 AT Sportz,2014,Petrol,"57,000 kms",1197 CC,Second Owner,Automatic,4.75 Lakh*
209,Hyundai EON Era Plus,2018,Petrol,"56,637 kms",814 CC,Second Owner,Manual,3.5 Lakh*
210,Maruti Zen Estilo VXI BSIV,2011,Petrol,"48,566 kms",998 CC,First Owner,Manual,2.75 Lakh*
211,Renault Duster Petrol RxL,2014,Petrol,"78,354 kms",1598 CC,First Owner,Manual,6.25 Lakh*
212,Honda City i-VTEC CVT VX,2018,Petrol,"27,000 kms",1497 CC,Second Owner,Automatic,11.75 Lakh*
213,Mercedes-Benz GLE Class 250d,2016,Diesel,"51,456 kms",2143 CC,Second Owner,Automatic,47 Lakh*
214,Maruti Celerio ZXI,2018,Petrol,"16,000 kms",998 CC,First Owner,Manual,6.25 Lakh*
215,Hyundai i20 1.4 Asta AT (O) with Sunroof,2011,Petrol,"70,000 kms",1396 CC,Second Owner,Automatic,4.25 Lakh*
216,Honda CR-V 2.4 MT,2008,Petrol,"78,000 kms",2354 CC,Third Owner,Manual,4.45 Lakh*
217,Maruti Swift ZXI BSIV,2015,Petrol,"49,566 kms",1197 CC,First Owner,Manual,5.95 Lakh*
218,Hyundai Creta 1.6 CRDi SX Option,2017,Diesel,"37,954 kms",1582 CC,First Owner,Manual,12.95 Lakh*
219,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,Petrol,"68,000 kms",1197 CC,First Owner,Manual,5.45 Lakh*
220,Skoda Superb Elegance 1.8 TSI AT,2010,Petrol,"1,06,000 kms",1798 CC,Second Owner,Automatic,7 Lakh*
221,Mercedes-Benz CLA 200 CDI Sport,2015,Diesel,"22,000 kms",2143 CC,First Owner,Automatic,26 Lakh*
222,Chevrolet Beat Diesel PS,2011,Diesel,"70,000 kms",936 CC,Fourth & Above Owner,Manual,1.95 Lakh*
223,Maruti Ertiga BSIV ZXI,2016,Petrol,"26,000 kms",1373 CC,First Owner,Manual,7.7 Lakh*
